,Unnamed: 0,created_at,lang,author_id,text,id,text_token,emoji_free_tweets,url_free_tweets,tokens,tokens_back_to_text,lemmas,lemmas_back_to_text,lemma_tokens,positive_sentiment,negative_sentiment,sentiment_tokens,len_tokens,has_positive,has_negative,label
1,1,2022-09-09T23:59:21.000Z,en,1515895379329708032,RT @dvdmckay: We’ve got a new paper out on climate #TippingPoints in @ScienceMagazine: “Exceeding 1.5°C global warming could trigger multip…,1568388623288107008,"['@dvdmckay:', 'we’ve', 'got', 'new', 'paper', 'climate', '#tippingpoints', '@sciencemagazine:', '“exceeding', '1.5°c', 'global', 'warming', 'trigger', 'multip…']",RT @dvdmckay: We’ve got a new paper out on climate #TippingPoints in @ScienceMagazine: “Exceeding 1.5°C global warming could trigger multip…,RT @dvdmckay: We’ve got a new paper out on climate #TippingPoints in @ScienceMagazine: “Exceeding 1.5°C global warming could trigger multip…,"['rt', '@dvdmckay:', 'we’ve', 'new', 'paper', '#tippingpoints', '@sciencemagazine:', '“exceeding', '1.5°c', 'global', 'warming', 'trigger', 'multip…']",rt @dvdmckay: we’ve new paper #tippingpoints @sciencemagazine: “exceeding 1.5°c global warming trigger multip…,"['rt', '@dvdmckay', 'new', 'paper', 'tippingpoint', '@sciencemagazine', 'exceed', '1.5', '°', 'c', 'global', 'warming', 'trigger', 'multip']",rt @dvdmckay new paper tippingpoint @sciencemagazine exceed 1.5 ° c global warming trigger multip,"['rt', 'dvdmckay', 'new', 'paper', 'tippingpoint', 'sciencemagazine', 'exceed', '1.5', '°', 'c', 'global', 'warming', 'trigger', 'multip']",['exceed'],[],['exceed'],1,1,0,1
2,2,2022-09-09T23:59:16.000Z,en,1547977583714660355,RT @DEATHBALL13: Let's not forget good old #CharlieChester and the propaganda machine @CNN. #ClimateChange #FakeNews #DemocratsAreDestroyin…,1568388601926524928,"['@deathball13:', ""let's"", 'forget', 'good', 'old', '#charliechester', 'propaganda', 'machine', '@cnn.', '#climatechange', '#fakenews', '#democratsaredestroyin…']",RT @DEATHBALL13: Let's not forget good old #CharlieChester and the propaganda machine @CNN. #ClimateChange #FakeNews #DemocratsAreDestroyin…,RT @DEATHBALL13: Let's not forget good old #CharlieChester and the propaganda machine @CNN. #ClimateChange #FakeNews #DemocratsAreDestroyin…,"['rt', '@deathball13:', ""let's"", 'forget', 'good', 'old', '#charliechester', 'propaganda', 'machine', '@cnn.', '#climatechange', '#fakenews', '#democratsaredestroyin…']",rt @deathball13: let's forget good old #charliechester propaganda machine @cnn. #climatechange #fakenews #democratsaredestroyin…,"['rt', '@deathball13', 'let', 'forget', 'good', 'old', 'charliechester', 'propaganda', 'machine', '@cnn', 'climatechange', 'fakenew', 'democratsaredestroyin']",rt @deathball13 let forget good old charliechester propaganda machine @cnn climatechange fakenew democratsaredestroyin,"['rt', 'deathball13', 'let', 'forget', 'good', 'old', 'charliechester', 'propaganda', 'machine', 'cnn', 'climatechange', 'fakenew', 'democratsaredestroyin']",['good'],['propaganda'],"['good', 'propaganda']",2,1,1,0
3,3,2022-09-09T23:58:51.000Z,en,1302354043793223680,"RT @EnergyLiveNews: Prime Minister Liz Truss announced measures today that will see energy bills frozen at £2,500 to fight the energy and c…",1568388497152638978,"['@energylivenews:', 'prime', 'minister', 'liz', 'truss', 'announced', 'measures', 'today', 'energy', 'bills', 'frozen', '£2,500', 'fight', 'energy', 'c…']","RT @EnergyLiveNews: Prime Minister Liz Truss announced measures today that will see energy bills frozen at £2,500 to fight the energy and c…","RT @EnergyLiveNews: Prime Minister Liz Truss announced measures today that will see energy bills frozen at £2,500 to fight the energy and c…","['rt', '@energylivenews:', 'prime', 'minister', 'liz', 'truss', 'announced', 'measures', 'today', 'energy', 'bills', 'frozen', '£2,500', 'fight', 'energy', 'c…']","rt @energylivenews: prime minister liz truss announced measures today energy bills frozen £2,500 fight energy c…","['rt', '@energylivenews', 'prime', 'minister', 'liz', 'truss', 'announce', 'measure', 'today', 'energy', 'bill', 'freeze', '£', '2,500', 'fight', 'energy', 'c']","rt @energylivenews prime minister liz truss announce measure today energy bill freeze £ 2,500 fight energy c","['rt', 'energylivenews', 'prime', 'minister', 'liz', 'truss', 'announce', 'measure', 'today', 'energy', 'bill', 'freeze', '£', '2,500', 'fight', 'energy', 'c']",[],['freeze'],['freeze'],1,0,1,-1
4,4,2022-09-09T23:58:45.000Z,en,126075164,RT @EnergyHouseVA: Energy Crisis Will Be Short-Lived &amp; Reap #climatechange #environment #sustai…,1568388472695853056,"['@energyhouseva:', 'energy', 'crisis', 'short-lived', 'reap', '#climatechange', '#environment', '#sustai…']",RT @EnergyHouseVA: Energy Crisis Will Be Short-Lived &amp; Reap #climatechange #environment #sustai…,RT @EnergyHouseVA: Energy Crisis Will Be Short-Lived &amp; Reap #climatechange #environment #sustai…,"['rt', '@energyhouseva:', 'energy', 'crisis', 'short-lived', 'reap', '#climatechange', '#environment', '#sustai…']",rt @energyhouseva: energy crisis short-lived reap #climatechange #environment #sustai…,"['rt', '@energyhouseva', 'energy', 'crisis', 'short', 'live', 'reap', 'climatechange', 'environment', 'sustai']",rt @energyhouseva energy crisis short live reap climatechange environment sustai,"['rt', 'energyhouseva', 'energy', 'crisis', 'short', 'live', 'reap', 'climatechange', 'environment', 'sustai']",[],['crisis'],['crisis'],1,0,1,-1
5,5,2022-09-09T23:58:39.000Z,en,80890155,"RT @NickKristof: We just lost power here at @KristofFarms here in rural Oregon, apparently because @portlandgeneral shut off electrical lin…",1568388444430245888,"['@nickkristof:', 'lost', 'power', '@kristoffarms', 'rural', 'oregon,', 'apparently', '@portlandgeneral', 'shut', 'electrical', 'lin…']","RT @NickKristof: We just lost power here at @KristofFarms here in rural Oregon, apparently because @portlandgeneral shut off electrical lin…","RT @NickKristof: We just lost power here at @KristofFarms here in rural Oregon, apparently because @portlandgeneral shut off electrical lin…","['rt', '@nickkristof:', 'lost', 'power', '@kristoffarms', 'rural', 'oregon,', 'apparently', '@portlandgeneral', 'shut', 'electrical', 'lin…']","rt @nickkristof: lost power @kristoffarms rural oregon, apparently @portlandgeneral shut electrical lin…","['rt', '@nickkristof', 'lose', 'power', '@kristoffarm', 'rural', 'oregon', 'apparently', '@portlandgeneral', 'shut', 'electrical', 'lin']",rt @nickkristof lose power @kristoffarm rural oregon apparently @portlandgeneral shut electrical lin,"['rt', 'nickkristof', 'lose', 'power', 'kristoffarm', 'rural', 'oregon', 'apparently', 'portlandgeneral', 'shut', 'electrical', 'lin']",[],['lose'],['lose'],1,0,1,-1
6,6,2022-09-09T23:58:22.000Z,en,1091713788066304001,RT @PCarterClimate: When Her Majesty said she was 'irritated' by climate inaction a translation would be 'bloody angry'. VIDEO on link.#cli…,1568388375811620864,"['@pcarterclimate:', 'majesty', 'said', ""'irritated'"", 'climate', 'inaction', 'translation', ""'bloody"", ""angry'."", 'video', 'link.#cli…']",RT @PCarterClimate: When Her Majesty said she was 'irritated' by climate inaction a translation would be 'bloody angry'. VIDEO on link.#cli…,RT @PCarterClimate: When Her Majesty said she was 'irritated' by climate inaction a translation would be 'bloody angry'. VIDEO on link.#cli…,"['rt', '@pcarterclimate:', 'majesty', 'said', ""'irritated'"", 'inaction', 'translation', ""'bloody"", ""angry'."", 'video', 'link.#cli…']",rt @pcarterclimate: majesty said 'irritated' inaction translation 'bloody angry'. video link.#cli…,"['rt', '@pcarterclimate', 'majesty', 'say', 'irritated', 'inaction', 'translation', 'bloody', 'angry', 'video', 'link.#cli']",rt @pcarterclimate majesty say irritated inaction translation bloody angry video link.#cli,"['rt', 'pcarterclimate', 'majesty', 'say', 'irritated', 'inaction', 'translation', 'bloody', 'angry', 'video', 'link.#cli']",['majesty'],"['inaction', 'bloody', 'irritated', 'angry']","['majesty', 'inaction', 'bloody', 'irritated', 'angry']",5,1,1,0
9,9,2022-09-09T23:57:54.000Z,en,199784228,"Energy, energy and more energy The basic problem is that we have built our cities around cars. Thermal or electric car, it is always too much energy to transport, often, only one person. #NeoliberalIndividualism #mobility #EnergyShortage #CaliforniaHeatWave #ClimateChange ",1568388259339816960,"['energy,', 'energy', 'energy', 'basic', 'problem', 'built', 'cities', 'cars.', 'thermal', 'electric', 'car,', 'energy', 'transport,', 'often,', 'person.', '#neoliberalindividualism', '#mobility', '#energyshortage', '#californiaheatwave', '#climatechange']","Energy, energy and more energy The basic problem is that we have built our cities around cars. Thermal or electric car, it is always too much energy to transport, often, only one person. #NeoliberalIndividualism #mobility #EnergyShortage #CaliforniaHeatWave #ClimateChange","Energy, energy and more energy The basic problem is that we have built our cities around cars. Thermal or electric car, it is always too much energy to transport, often, only one person. #NeoliberalIndividualism #mobility #EnergyShortage #CaliforniaHeatWave #ClimateChange","['energy,', 'energy', 'energy', 'basic', 'problem', 'built', 'cities', 'cars.', 'thermal', 'electric', 'car,', 'energy', 'transport,', 'often,', 'person.', '#neoliberalindividualism', '#mobility', '#energyshortage', '#californiaheatwave', '#climatechange']","energy, energy energy basic problem built cities cars. thermal electric car, energy transport, often, person. #neoliberalindividualism #mobility #energyshortage #californiaheatwave #climatechange","['energy', 'energy', 'energy', 'basic', 'problem', 'build', 'city', 'car', 'thermal', 'electric', 'car', 'energy', 'transport', 'person', 'neoliberalindividualism', 'mobility', 'energyshortage', 'californiaheatwave', 'climatechange']",energy energy energy basic problem build city car thermal electric car energy transport person neoliberalindividualism mobility energyshortage californiaheatwave climatechange,"['energy', 'energy', 'energy', 'basic', 'problem', 'build', 'city', 'car', 'thermal', 'electric', 'car', 'energy', 'transport', 'person', 'neoliberalindividualism', 'mobility', 'energyshortage', 'californiaheatwave', 'climatechange']",[],['problem'],['problem'],1,0,1,-1
10,10,2022-09-09T23:57:43.000Z,en,1470112177843367936,RT @Quackpadnow: Here morning article. #ClimateEmergency Zombie Towns $ETLG #Earthlingeco delivering knowledges &amp; will for community abo…,1568388213169090562,"['@quackpadnow:', 'morning', 'article.', '#climateemergency', 'zombie', 'towns', '$etlg', '#earthlingeco', 'delivering', 'knowledges', 'community', 'abo…']",RT @Quackpadnow: Here morning article. #ClimateEmergency Zombie Towns $ETLG #Earthlingeco delivering knowledges &amp; will for community abo…,RT @Quackpadnow: Here morning article. #ClimateEmergency Zombie Towns $ETLG #Earthlingeco delivering knowledges &amp; will for community abo…,"['rt', '@quackpadnow:', 'morning', 'article.', '#climateemergency', 'zombie', 'towns', '$etlg', '#earthlingeco', 'delivering', 'knowledges', 'community', 'abo…']",rt @quackpadnow: morning article. #climateemergency zombie towns $etlg #earthlingeco delivering knowledges community abo…,"['rt', '@quackpadnow', 'morning', 'article', 'climateemergency', 'zombie', 'town', '$', 'etlg', 'earthlingeco', 'deliver', 'knowledge', 'community', 'abo']",rt @quackpadnow morning article climateemergency zombie town $ etlg earthlingeco deliver knowledge community abo,"['rt', 'quackpadnow', 'morning', 'article', 'climateemergency', 'zombie', 'town', 'etlg', 'earthlingeco', 'deliver', 'knowledge', 'community', 'abo']",[],['zombie'],['zombie'],1,0,1,-1
11,11,2022-09-09T23:56:56.000Z,en,17355195,RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,1568388015650914309,"['@anncherie49:', '#fauziah', 'referred', '#climatechange', '“fashionable”.', 'irresponsible', 'journalism', '#abc', '@abcnews', '@breakfastnews']",RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,"['rt', '@anncherie49:', '#fauziah', 'referred', '#climatechange', '“fashionable”.', 'irresponsible', 'journalism', '#abc', '@abcnews', '@breakfastnews']",rt @anncherie49: #fauziah referred #climatechange “fashionable”. irresponsible journalism #abc @abcnews @breakfastnews,"['rt', '@anncherie49', 'fauziah', 'refer', 'climatechange', 'fashionable', 'irresponsible', 'journalism', 'abc', '@abcnews', '@breakfastnew']",rt @anncherie49 fauziah refer climatechange fashionable irresponsible journalism abc @abcnews @breakfastnew,"['rt', 'anncherie49', 'fauziah', 'refer', 'climatechange', 'fashionable', 'irresponsible', 'journalism', 'abc', 'abcnews', 'breakfastnew']",['fashionable'],['irresponsible'],"['fashionable', 'irresponsible']",2,1,1,0
14,14,2022-09-09T23:55:50.000Z,en,20554879,"RT @maggini_19: Rose Webster here. #GetTheMasksOffOurChildren ""Because they're ALL good kids until ...""~ John Candy Hey #JordanPeters…",1568387736486428673,"['@maggini_19:', 'rose', 'webster', 'here.', '#getthemasksoffourchildren', '""because', ""they're"", 'good', 'kids', '...""~', 'john', 'candy', 'hey', '#jordanpeters…']","RT @maggini_19: Rose Webster here. #GetTheMasksOffOurChildren ""Because they're ALL good kids until ...""~ John Candy Hey #JordanPeters…","RT @maggini_19: Rose Webster here. #GetTheMasksOffOurChildren ""Because they're ALL good kids until ...""~ John Candy Hey #JordanPeters…","['rt', '@maggini_19:', 'rose', 'webster', 'here.', '#getthemasksoffourchildren', '""because', ""they're"", 'good', 'kids', '...""~', 'john', 'candy', 'hey', '#jordanpeters…']","rt @maggini_19: rose webster here. #getthemasksoffourchildren ""because they're good kids ...""~ john candy hey #jordanpeters…","['rt', '@maggini_19', 'rise', 'webster', 'getthemasksoffourchildren', 'good', 'kid', '~', 'john', 'candy', 'hey', 'jordanpeter']",rt @maggini_19 rise webster getthemasksoffourchildren good kid ~ john candy hey jordanpeter,"['rt', 'maggini_19', 'rise', 'webster', 'getthemasksoffourchildren', 'good', 'kid', '~', 'john', 'candy', 'hey', 'jordanpeter']",['good'],[],['good'],1,1,0,1
15,15,2022-09-09T23:55:37.000Z,en,427743501,RT @OceanaEurope: New report published by Oceana &amp; @SeasAtRisk shows #bottomtrawling can be largely replaced in 🇪🇺 by less aggressive fishi…,1568387683097128961,"['@oceanaeurope:', 'new', 'report', 'published', 'oceana', '@seasatrisk', 'shows', '#bottomtrawling', 'largely', 'replaced', '🇪🇺', 'aggressive', 'fishi…']",RT @OceanaEurope: New report published by Oceana &amp; @SeasAtRisk shows #bottomtrawling can be largely replaced in 🇪🇺 by less aggressive fishi…,RT @OceanaEurope: New report published by Oceana &amp; @SeasAtRisk shows #bottomtrawling can be largely replaced in 🇪🇺 by less aggressive fishi…,"['rt', '@oceanaeurope:', 'new', 'report', 'published', 'oceana', '@seasatrisk', 'shows', '#bottomtrawling', 'largely', 'replaced', '🇪🇺', 'aggressive', 'fishi…']",rt @oceanaeurope: new report published oceana @seasatrisk shows #bottomtrawling largely replaced 🇪🇺 aggressive fishi…,"['rt', '@oceanaeurope', 'new', 'report', 'publish', 'oceana', '@seasatrisk', 'show', 'bottomtrawle', 'largely', 'replace', '🇪', '🇺', 'aggressive', 'fishi']",rt @oceanaeurope new report publish oceana @seasatrisk show bottomtrawle largely replace 🇪 🇺 aggressive fishi,"['rt', 'oceanaeurope', 'new', 'report', 'publish', 'oceana', 'seasatrisk', 'show', 'bottomtrawle', 'largely', 'replace', '🇪', '🇺', 'aggressive', 'fishi']",[],['aggressive'],['aggressive'],1,0,1,-1
17,17,2022-09-09T23:55:13.000Z,en,278069561,"RT @el_tragon_de_LA: Not so Fun Fact: Tropical storms are so rare in California, the last one being on September 24, 1939, when a hurricane…",1568387583398522882,"['@el_tragon_de_la:', 'fun', 'fact:', 'tropical', 'storms', 'rare', 'california,', 'september', '24,', '1939,', 'hurricane…']","RT @el_tragon_de_LA: Not so Fun Fact: Tropical storms are so rare in California, the last one being on September 24, 1939, when a hurricane…","RT @el_tragon_de_LA: Not so Fun Fact: Tropical storms are so rare in California, the last one being on September 24, 1939, when a hurricane…","['rt', '@el_tragon_de_la:', 'fun', 'fact:', 'tropical', 'storms', 'rare', 'california,', 'september', '24,', '1939,', 'hurricane…']","rt @el_tragon_de_la: fun fact: tropical storms rare california, september 24, 1939, hurricane…","['rt', '@el_tragon_de_la', 'fun', 'fact', 'tropical', 'storm', 'rare', 'california', 'september', '24', '1939', 'hurricane']",rt @el_tragon_de_la fun fact tropical storm rare california september 24 1939 hurricane,"['rt', 'el_tragon_de_la', 'fun', 'fact', 'tropical', 'storm', 'rare', 'california', 'september', '24', '1939', 'hurricane']",['fun'],[],['fun'],1,1,0,1
18,18,2022-09-09T23:54:48.000Z,en,141003933,"RT @NickKristof: We just lost power here at @KristofFarms here in rural Oregon, apparently because @portlandgeneral shut off electrical lin…",1568387476028530689,"['@nickkristof:', 'lost', 'power', '@kristoffarms', 'rural', 'oregon,', 'apparently', '@portlandgeneral', 'shut', 'electrical', 'lin…']","RT @NickKristof: We just lost power here at @KristofFarms here in rural Oregon, apparently because @portlandgeneral shut off electrical lin…","RT @NickKristof: We just lost power here at @KristofFarms here in rural Oregon, apparently because @portlandgeneral shut off electrical lin…","['rt', '@nickkristof:', 'lost', 'power', '@kristoffarms', 'rural', 'oregon,', 'apparently', '@portlandgeneral', 'shut', 'electrical', 'lin…']","rt @nickkristof: lost power @kristoffarms rural oregon, apparently @portlandgeneral shut electrical lin…","['rt', '@nickkristof', 'lose', 'power', '@kristoffarm', 'rural', 'oregon', 'apparently', '@portlandgeneral', 'shut', 'electrical', 'lin']",rt @nickkristof lose power @kristoffarm rural oregon apparently @portlandgeneral shut electrical lin,"['rt', 'nickkristof', 'lose', 'power', 'kristoffarm', 'rural', 'oregon', 'apparently', 'portlandgeneral', 'shut', 'electrical', 'lin']",[],['lose'],['lose'],1,0,1,-1
19,19,2022-09-09T23:54:47.000Z,en,71664307,RT @PCarterClimate: When Her Majesty said she was 'irritated' by climate inaction a translation would be 'bloody angry'. VIDEO on link.#cli…,1568387472161374208,"['@pcarterclimate:', 'majesty', 'said', ""'irritated'"", 'climate', 'inaction', 'translation', ""'bloody"", ""angry'."", 'video', 'link.#cli…']",RT @PCarterClimate: When Her Majesty said she was 'irritated' by climate inaction a translation would be 'bloody angry'. VIDEO on link.#cli…,RT @PCarterClimate: When Her Majesty said she was 'irritated' by climate inaction a translation would be 'bloody angry'. VIDEO on link.#cli…,"['rt', '@pcarterclimate:', 'majesty', 'said', ""'irritated'"", 'inaction', 'translation', ""'bloody"", ""angry'."", 'video', 'link.#cli…']",rt @pcarterclimate: majesty said 'irritated' inaction translation 'bloody angry'. video link.#cli…,"['rt', '@pcarterclimate', 'majesty', 'say', 'irritated', 'inaction', 'translation', 'bloody', 'angry', 'video', 'link.#cli']",rt @pcarterclimate majesty say irritated inaction translation bloody angry video link.#cli,"['rt', 'pcarterclimate', 'majesty', 'say', 'irritated', 'inaction', 'translation', 'bloody', 'angry', 'video', 'link.#cli']",['majesty'],"['inaction', 'bloody', 'irritated', 'angry']","['majesty', 'inaction', 'bloody', 'irritated', 'angry']",5,1,1,0
20,20,2022-09-09T23:54:39.000Z,es,933778596551946241,"RT @ONU_es: Para abordar la crisis climática, debemos lidiar con nuestra adicción al petróleo, el carbón y el gas. La eliminación gradual…",1568387440745844740,"['@onu_es:', 'para', 'abordar', 'la', 'crisis', 'climática,', 'debemos', 'lidiar', 'con', 'nuestra', 'adicción', 'al', 'petróleo,', 'el', 'carbón', 'y', 'el', 'gas.', 'la', 'eliminación', 'gradual…']","RT @ONU_es: Para abordar la crisis climática, debemos lidiar con nuestra adicción al petróleo, el carbón y el gas. La eliminación gradual…","RT @ONU_es: Para abordar la crisis climática, debemos lidiar con nuestra adicción al petróleo, el carbón y el gas. La eliminación gradual…","['rt', '@onu_es:', 'para', 'abordar', 'la', 'crisis', 'climática,', 'debemos', 'lidiar', 'con', 'nuestra', 'adicción', 'al', 'petróleo,', 'el', 'carbón', 'y', 'el', 'gas.', 'la', 'eliminación', 'gradual…']","rt @onu_es: para abordar la crisis climática, debemos lidiar con nuestra adicción al petróleo, el carbón y el gas. la eliminación gradual…","['rt', '@onu_es', 'para', 'abordar', 'la', 'crisis', 'climática', 'debemos', 'lidiar', 'con', 'nuestra', 'adicción', 'al', 'petróleo', 'el', 'carbón', 'y', 'el', 'gas', 'la', 'eliminación', 'gradual']",rt @onu_es para abordar la crisis climática debemos lidiar con nuestra adicción al petróleo el carbón y el gas la eliminación gradual,"['rt', 'onu_es', 'para', 'abordar', 'la', 'crisis', 'climática', 'debemos', 'lidiar', 'con', 'nuestra', 'adicción', 'al', 'petróleo', 'el', 'carbón', 'y', 'el', 'gas', 'la', 'eliminación', 'gradual']",[],['crisis'],['crisis'],1,0,1,-1
21,21,2022-09-09T23:54:09.000Z,en,101835305,RT @ICRicardoLara: Thank you to the powerful advocates who are leading the effort in CA and globally to close the protection gap &amp; help tho…,1568387311968329729,"['@icricardolara:', 'thank', 'powerful', 'advocates', 'leading', 'effort', 'globally', 'close', 'protection', 'gap', 'help', 'tho…']",RT @ICRicardoLara: Thank you to the powerful advocates who are leading the effort in CA and globally to close the protection gap &amp; help tho…,RT @ICRicardoLara: Thank you to the powerful advocates who are leading the effort in CA and globally to close the protection gap &amp; help tho…,"['rt', '@icricardolara:', 'thank', 'powerful', 'advocates', 'leading', 'effort', 'globally', 'close', 'protection', 'gap', 'help', 'tho…']",rt @icricardolara: thank powerful advocates leading effort globally close protection gap help tho…,"['rt', '@icricardolara', 'thank', 'powerful', 'advocate', 'lead', 'effort', 'globally', 'close', 'protection', 'gap', 'help', 'tho']",rt @icricardolara thank powerful advocate lead effort globally close protection gap help tho,"['rt', 'icricardolara', 'thank', 'powerful', 'advocate', 'lead', 'effort', 'globally', 'close', 'protection', 'gap', 'help', 'tho']","['powerful', 'thank', 'lead', 'advocate', 'protection']",[],"['powerful', 'thank', 'lead', 'advocate', 'protection']",5,1,0,1
22,22,2022-09-09T23:54:00.000Z,en,101835305,RT @ICRicardoLara: Thank you @CAgovernor for signing #AB2238 and joint authors @AsmLuzRivas @AsmEGarciaAD56 @AsmGarcia for your leadership…,1568387275477897217,"['@icricardolara:', 'thank', '@cagovernor', 'signing', '#ab2238', 'joint', 'authors', '@asmluzrivas', '@asmegarciaad56', '@asmgarcia', 'leadership…']",RT @ICRicardoLara: Thank you @CAgovernor for signing #AB2238 and joint authors @AsmLuzRivas @AsmEGarciaAD56 @AsmGarcia for your leadership…,RT @ICRicardoLara: Thank you @CAgovernor for signing #AB2238 and joint authors @AsmLuzRivas @AsmEGarciaAD56 @AsmGarcia for your leadership…,"['rt', '@icricardolara:', 'thank', '@cagovernor', 'signing', '#ab2238', 'joint', 'authors', '@asmluzrivas', '@asmegarciaad56', '@asmgarcia', 'leadership…']",rt @icricardolara: thank @cagovernor signing #ab2238 joint authors @asmluzrivas @asmegarciaad56 @asmgarcia leadership…,"['rt', '@icricardolara', 'thank', '@cagovernor', 'sign', 'ab2238', 'joint', 'author', '@asmluzrivas', '@asmegarciaad56', '@asmgarcia', 'leadership']",rt @icricardolara thank @cagovernor sign ab2238 joint author @asmluzrivas @asmegarciaad56 @asmgarcia leadership,"['rt', 'icricardolara', 'thank', 'cagovernor', 'sign', 'ab2238', 'joint', 'author', 'asmluzrivas', 'asmegarciaad56', 'asmgarcia', 'leadership']",['thank'],[],['thank'],1,1,0,1
