,Unnamed: 0,created_at,lang,author_id,text,id,text_token,emoji_free_tweets,url_free_tweets,tokens,tokens_back_to_text,lemmas,lemmas_back_to_text,lemma_tokens,positive_sentiment,negative_sentiment,sentiment_tokens,len_tokens,has_positive,has_negative,label
47,47,2022-09-09T23:48:16.000Z,en,1178739532704956422,RT @dvdmckay: We’ve got a new paper out on climate #TippingPoints in @ScienceMagazine: “Exceeding 1.5°C global warming could trigger multip…,1568385832402272258,"['@dvdmckay:', 'we’ve', 'got', 'new', 'paper', 'climate', '#tippingpoints', '@sciencemagazine:', '“exceeding', '1.5°c', 'global', 'warming', 'trigger', 'multip…']",RT @dvdmckay: We’ve got a new paper out on climate #TippingPoints in @ScienceMagazine: “Exceeding 1.5°C global warming could trigger multip…,RT @dvdmckay: We’ve got a new paper out on climate #TippingPoints in @ScienceMagazine: “Exceeding 1.5°C global warming could trigger multip…,"['rt', '@dvdmckay:', 'we’ve', 'new', 'paper', '#tippingpoints', '@sciencemagazine:', '“exceeding', '1.5°c', 'global', 'warming', 'trigger', 'multip…']",rt @dvdmckay: we’ve new paper #tippingpoints @sciencemagazine: “exceeding 1.5°c global warming trigger multip…,"['rt', '@dvdmckay', 'new', 'paper', 'tippingpoint', '@sciencemagazine', 'exceed', '1.5', '°', 'c', 'global', 'warming', 'trigger', 'multip']",rt @dvdmckay new paper tippingpoint @sciencemagazine exceed 1.5 ° c global warming trigger multip,"['rt', 'dvdmckay', 'new', 'paper', 'tippingpoint', 'sciencemagazine', 'exceed', '1.5', '°', 'c', 'global', 'warming', 'trigger', 'multip']",['exceed'],[],['exceed'],1,1,0,1
50,50,2022-09-09T23:48:05.000Z,en,17004618,"We just lost power here at @KristofFarms here in rural Oregon, apparently because @portlandgeneral shut off electrical lines because of high winds and fire danger. First time I can ever recall losing power to a preventive action to reduce fire risk. #ClimateChange",1568385787330441217,"['lost', 'power', '@kristoffarms', 'rural', 'oregon,', 'apparently', '@portlandgeneral', 'shut', 'electrical', 'lines', 'high', 'winds', 'fire', 'danger.', 'time', 'recall', 'losing', 'power', 'preventive', 'action', 'reduce', 'fire', 'risk.', '#climatechange']","We just lost power here at @KristofFarms here in rural Oregon, apparently because @portlandgeneral shut off electrical lines because of high winds and fire danger. First time I can ever recall losing power to a preventive action to reduce fire risk. #ClimateChange","We just lost power here at @KristofFarms here in rural Oregon, apparently because @portlandgeneral shut off electrical lines because of high winds and fire danger. First time I can ever recall losing power to a preventive action to reduce fire risk. #ClimateChange","['lost', 'power', '@kristoffarms', 'rural', 'oregon,', 'apparently', '@portlandgeneral', 'shut', 'electrical', 'lines', 'high', 'winds', 'fire', 'danger.', 'time', 'recall', 'losing', 'power', 'preventive', 'action', 'reduce', 'fire', 'risk.', '#climatechange']","lost power @kristoffarms rural oregon, apparently @portlandgeneral shut electrical lines high winds fire danger. time recall losing power preventive action reduce fire risk. #climatechange","['lose', 'power', '@kristoffarm', 'rural', 'oregon', 'apparently', '@portlandgeneral', 'shut', 'electrical', 'line', 'high', 'wind', 'fire', 'danger', 'time', 'recall', 'lose', 'power', 'preventive', 'action', 'reduce', 'fire', 'risk', 'climatechange']",lose power @kristoffarm rural oregon apparently @portlandgeneral shut electrical line high wind fire danger time recall lose power preventive action reduce fire risk climatechange,"['lose', 'power', 'kristoffarm', 'rural', 'oregon', 'apparently', 'portlandgeneral', 'shut', 'electrical', 'line', 'high', 'wind', 'fire', 'danger', 'time', 'recall', 'lose', 'power', 'preventive', 'action', 'reduce', 'fire', 'risk', 'climatechange']",[],"['lose', 'danger', 'risk']","['lose', 'danger', 'risk']",3,0,1,-1
52,52,2022-09-09T23:47:52.000Z,en,1509738199526125581,RT @Quackpadnow: Here morning article. #ClimateEmergency Zombie Towns $ETLG #Earthlingeco delivering knowledges &amp; will for community abo…,1568385734159093760,"['@quackpadnow:', 'morning', 'article.', '#climateemergency', 'zombie', 'towns', '$etlg', '#earthlingeco', 'delivering', 'knowledges', 'community', 'abo…']",RT @Quackpadnow: Here morning article. #ClimateEmergency Zombie Towns $ETLG #Earthlingeco delivering knowledges &amp; will for community abo…,RT @Quackpadnow: Here morning article. #ClimateEmergency Zombie Towns $ETLG #Earthlingeco delivering knowledges &amp; will for community abo…,"['rt', '@quackpadnow:', 'morning', 'article.', '#climateemergency', 'zombie', 'towns', '$etlg', '#earthlingeco', 'delivering', 'knowledges', 'community', 'abo…']",rt @quackpadnow: morning article. #climateemergency zombie towns $etlg #earthlingeco delivering knowledges community abo…,"['rt', '@quackpadnow', 'morning', 'article', 'climateemergency', 'zombie', 'town', '$', 'etlg', 'earthlingeco', 'deliver', 'knowledge', 'community', 'abo']",rt @quackpadnow morning article climateemergency zombie town $ etlg earthlingeco deliver knowledge community abo,"['rt', 'quackpadnow', 'morning', 'article', 'climateemergency', 'zombie', 'town', 'etlg', 'earthlingeco', 'deliver', 'knowledge', 'community', 'abo']",[],['zombie'],['zombie'],1,0,1,-1
53,53,2022-09-09T23:47:48.000Z,en,219054765,"Is that the same Science that dictates a male and a female are fully interchangeable? Or that a conceived Human Child is a mass of cells? NEW - #Biden's #ClimateCzar #JohnKerry on #ClimateChange: ""It's not political... It's a universal issue defined by science."" @disclosetv ",1568385716794662913,"['science', 'dictates', 'male', 'female', 'fully', 'interchangeable?', 'conceived', 'human', 'child', 'mass', 'cells?', 'new', ""#biden's"", '#climateczar', '#johnkerry', '#climatechange:', '""it\'s', 'political...', 'universal', 'issue', 'defined', 'science.""', '@disclosetv']","Is that the same Science that dictates a male and a female are fully interchangeable? Or that a conceived Human Child is a mass of cells? NEW - #Biden's #ClimateCzar #JohnKerry on #ClimateChange: ""It's not political... It's a universal issue defined by science."" @disclosetv","Is that the same Science that dictates a male and a female are fully interchangeable? Or that a conceived Human Child is a mass of cells? NEW - #Biden's #ClimateCzar #JohnKerry on #ClimateChange: ""It's not political... It's a universal issue defined by science."" @disclosetv","['science', 'dictates', 'male', 'female', 'fully', 'interchangeable?', 'conceived', 'human', 'child', 'mass', 'cells?', 'new', ""#biden's"", '#climateczar', '#johnkerry', '#climatechange:', '""it\'s', 'political...', 'universal', 'issue', 'defined', 'science.""', '@disclosetv']","science dictates male female fully interchangeable? conceived human child mass cells? new #biden's #climateczar #johnkerry #climatechange: ""it's political... universal issue defined science."" @disclosetv","['science', 'dictate', 'male', 'female', 'fully', 'interchangeable', 'conceive', 'human', 'child', 'mass', 'cell', 'new', 'biden', 'climateczar', 'johnkerry', 'climatechange', 'political', 'universal', 'issue', 'define', 'science', '@disclosetv']",science dictate male female fully interchangeable conceive human child mass cell new biden climateczar johnkerry climatechange political universal issue define science @disclosetv,"['science', 'dictate', 'male', 'female', 'fully', 'interchangeable', 'conceive', 'human', 'child', 'mass', 'cell', 'new', 'biden', 'climateczar', 'johnkerry', 'climatechange', 'political', 'universal', 'issue', 'define', 'science', 'disclosetv']",[],['issue'],['issue'],1,0,1,-1
54,54,2022-09-09T23:47:47.000Z,en,1554125013707804672,Here morning article. #ClimateEmergency Zombie Towns $ETLG #Earthlingeco delivering knowledges &amp; will for community about global warming &amp; climatechange.  #RichQUACK $QUACK #QUACKarmy #Earthlingwarriors #Web3 #NFTs  ,1568385710687940609,"['morning', 'article.', '#climateemergency', 'zombie', 'towns', '$etlg', '#earthlingeco', 'delivering', 'knowledges', 'community', 'global', 'warming', 'climatechange.', '#richquack', '$quack', '#quackarmy', '#earthlingwarriors', '#web3', '#nfts']",Here morning article. #ClimateEmergency Zombie Towns $ETLG #Earthlingeco delivering knowledges &amp; will for community about global warming &amp; climatechange. #RichQUACK $QUACK #QUACKarmy #Earthlingwarriors #Web3 #NFTs,Here morning article. #ClimateEmergency Zombie Towns $ETLG #Earthlingeco delivering knowledges &amp; will for community about global warming &amp; climatechange. #RichQUACK $QUACK #QUACKarmy #Earthlingwarriors #Web3 #NFTs,"['morning', 'article.', '#climateemergency', 'zombie', 'towns', '$etlg', '#earthlingeco', 'delivering', 'knowledges', 'community', 'global', 'warming', 'climatechange.', '#richquack', '$quack', '#quackarmy', '#earthlingwarriors', '#web3', '#nfts']",morning article. #climateemergency zombie towns $etlg #earthlingeco delivering knowledges community global warming climatechange. #richquack $quack #quackarmy #earthlingwarriors #web3 #nfts,"['morning', 'article', 'climateemergency', 'zombie', 'town', '$', 'etlg', 'earthlingeco', 'deliver', 'knowledge', 'community', 'global', 'warming', 'climatechange', 'richquack', '$', 'quack', 'quackarmy', 'earthlingwarrior', 'web3', 'nft']",morning article climateemergency zombie town $ etlg earthlingeco deliver knowledge community global warming climatechange richquack $ quack quackarmy earthlingwarrior web3 nft,"['morning', 'article', 'climateemergency', 'zombie', 'town', 'etlg', 'earthlingeco', 'deliver', 'knowledge', 'community', 'global', 'warming', 'climatechange', 'richquack', 'quack', 'quackarmy', 'earthlingwarrior', 'web3', 'nft']",[],"['zombie', 'quack']","['zombie', 'quack']",2,0,1,-1
55,55,2022-09-09T23:47:16.000Z,en,1223421798802436096,"RT @EpochOpinion: Roger L. Simon The minute they switched “#GlobalWarming” to “#ClimateChange,” you knew they were lying. And…",1568385581750550529,"['@epochopinion:', 'roger', 'l.', 'simon', 'minute', 'switched', '“#globalwarming”', '“#climatechange,”', 'knew', 'lying.', 'and…']","RT @EpochOpinion: Roger L. Simon The minute they switched “#GlobalWarming” to “#ClimateChange,” you knew they were lying. And…","RT @EpochOpinion: Roger L. Simon The minute they switched “#GlobalWarming” to “#ClimateChange,” you knew they were lying. And…","['rt', '@epochopinion:', 'roger', 'l.', 'simon', 'minute', 'switched', '“#globalwarming”', '“#climatechange,”', 'knew', 'lying.', 'and…']","rt @epochopinion: roger l. simon minute switched “#globalwarming” “#climatechange,” knew lying. and…","['rt', '@epochopinion', 'roger', 'l.', 'simon', 'minute', 'switch', 'globalwarme', 'climatechange', 'know', 'lie']",rt @epochopinion roger l. simon minute switch globalwarme climatechange know lie,"['rt', 'epochopinion', 'roger', 'l.', 'simon', 'minute', 'switch', 'globalwarme', 'climatechange', 'know', 'lie']",[],['lie'],['lie'],1,0,1,-1
56,56,2022-09-09T23:47:02.000Z,en,274045769,@PatKelly1158 He may be even more powerful in bringing foreign leaders into dealing with #ClimateChange.,1568385521319309312,"['@patkelly1158', 'powerful', 'bringing', 'foreign', 'leaders', 'dealing', '#climatechange.']",@PatKelly1158 He may be even more powerful in bringing foreign leaders into dealing with #ClimateChange.,@PatKelly1158 He may be even more powerful in bringing foreign leaders into dealing with #ClimateChange.,"['@patkelly1158', 'powerful', 'bringing', 'foreign', 'leaders', 'dealing', '#climatechange.']",@patkelly1158 powerful bringing foreign leaders dealing #climatechange.,"['@patkelly1158', 'powerful', 'bring', 'foreign', 'leader', 'deal', 'climatechange']",@patkelly1158 powerful bring foreign leader deal climatechange,"['patkelly1158', 'powerful', 'bring', 'foreign', 'leader', 'deal', 'climatechange']",['powerful'],[],['powerful'],1,1,0,1
58,58,2022-09-09T23:46:31.000Z,en,1487430991501303809,RT @DEATHBALL13: Let's not forget good old #CharlieChester and the propaganda machine @CNN. #ClimateChange #FakeNews #DemocratsAreDestroyin…,1568385390909833216,"['@deathball13:', ""let's"", 'forget', 'good', 'old', '#charliechester', 'propaganda', 'machine', '@cnn.', '#climatechange', '#fakenews', '#democratsaredestroyin…']",RT @DEATHBALL13: Let's not forget good old #CharlieChester and the propaganda machine @CNN. #ClimateChange #FakeNews #DemocratsAreDestroyin…,RT @DEATHBALL13: Let's not forget good old #CharlieChester and the propaganda machine @CNN. #ClimateChange #FakeNews #DemocratsAreDestroyin…,"['rt', '@deathball13:', ""let's"", 'forget', 'good', 'old', '#charliechester', 'propaganda', 'machine', '@cnn.', '#climatechange', '#fakenews', '#democratsaredestroyin…']",rt @deathball13: let's forget good old #charliechester propaganda machine @cnn. #climatechange #fakenews #democratsaredestroyin…,"['rt', '@deathball13', 'let', 'forget', 'good', 'old', 'charliechester', 'propaganda', 'machine', '@cnn', 'climatechange', 'fakenew', 'democratsaredestroyin']",rt @deathball13 let forget good old charliechester propaganda machine @cnn climatechange fakenew democratsaredestroyin,"['rt', 'deathball13', 'let', 'forget', 'good', 'old', 'charliechester', 'propaganda', 'machine', 'cnn', 'climatechange', 'fakenew', 'democratsaredestroyin']",['good'],['propaganda'],"['good', 'propaganda']",2,1,1,0
59,59,2022-09-09T23:45:25.000Z,en,161559649,RT @dvdmckay: We’ve got a new paper out on climate #TippingPoints in @ScienceMagazine: “Exceeding 1.5°C global warming could trigger multip…,1568385115226796033,"['@dvdmckay:', 'we’ve', 'got', 'new', 'paper', 'climate', '#tippingpoints', '@sciencemagazine:', '“exceeding', '1.5°c', 'global', 'warming', 'trigger', 'multip…']",RT @dvdmckay: We’ve got a new paper out on climate #TippingPoints in @ScienceMagazine: “Exceeding 1.5°C global warming could trigger multip…,RT @dvdmckay: We’ve got a new paper out on climate #TippingPoints in @ScienceMagazine: “Exceeding 1.5°C global warming could trigger multip…,"['rt', '@dvdmckay:', 'we’ve', 'new', 'paper', '#tippingpoints', '@sciencemagazine:', '“exceeding', '1.5°c', 'global', 'warming', 'trigger', 'multip…']",rt @dvdmckay: we’ve new paper #tippingpoints @sciencemagazine: “exceeding 1.5°c global warming trigger multip…,"['rt', '@dvdmckay', 'new', 'paper', 'tippingpoint', '@sciencemagazine', 'exceed', '1.5', '°', 'c', 'global', 'warming', 'trigger', 'multip']",rt @dvdmckay new paper tippingpoint @sciencemagazine exceed 1.5 ° c global warming trigger multip,"['rt', 'dvdmckay', 'new', 'paper', 'tippingpoint', 'sciencemagazine', 'exceed', '1.5', '°', 'c', 'global', 'warming', 'trigger', 'multip']",['exceed'],[],['exceed'],1,1,0,1
65,65,2022-09-09T23:43:03.000Z,en,1062349588856819713,RT @lynn_of_cait: The GOP claims it’s just a hoax or climate hysteria. But this is the same exact spot in the Arctic ocean photographed 105…,1568384520461631489,"['@lynn_of_cait:', 'gop', 'claims', 'hoax', 'climate', 'hysteria.', 'exact', 'spot', 'arctic', 'ocean', 'photographed', '105…']",RT @lynn_of_cait: The GOP claims it’s just a hoax or climate hysteria. But this is the same exact spot in the Arctic ocean photographed 105…,RT @lynn_of_cait: The GOP claims it’s just a hoax or climate hysteria. But this is the same exact spot in the Arctic ocean photographed 105…,"['rt', '@lynn_of_cait:', 'gop', 'claims', 'hoax', 'hysteria.', 'exact', 'spot', 'arctic', 'ocean', 'photographed', '105…']",rt @lynn_of_cait: gop claims hoax hysteria. exact spot arctic ocean photographed 105…,"['rt', '@lynn_of_cait', 'gop', 'claim', 'hoax', 'hysteria', 'exact', 'spot', 'arctic', 'ocean', 'photograph', '105']",rt @lynn_of_cait gop claim hoax hysteria exact spot arctic ocean photograph 105,"['rt', 'lynn_of_cait', 'gop', 'claim', 'hoax', 'hysteria', 'exact', 'spot', 'arctic', 'ocean', 'photograph', '105']",[],"['hoax', 'hysteria']","['hoax', 'hysteria']",2,0,1,-1
66,66,2022-09-09T23:42:57.000Z,en,1436140150921183267,RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,1568384496709554177,"['@anncherie49:', '#fauziah', 'referred', '#climatechange', '“fashionable”.', 'irresponsible', 'journalism', '#abc', '@abcnews', '@breakfastnews']",RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,"['rt', '@anncherie49:', '#fauziah', 'referred', '#climatechange', '“fashionable”.', 'irresponsible', 'journalism', '#abc', '@abcnews', '@breakfastnews']",rt @anncherie49: #fauziah referred #climatechange “fashionable”. irresponsible journalism #abc @abcnews @breakfastnews,"['rt', '@anncherie49', 'fauziah', 'refer', 'climatechange', 'fashionable', 'irresponsible', 'journalism', 'abc', '@abcnews', '@breakfastnew']",rt @anncherie49 fauziah refer climatechange fashionable irresponsible journalism abc @abcnews @breakfastnew,"['rt', 'anncherie49', 'fauziah', 'refer', 'climatechange', 'fashionable', 'irresponsible', 'journalism', 'abc', 'abcnews', 'breakfastnew']",['fashionable'],['irresponsible'],"['fashionable', 'irresponsible']",2,1,1,0
67,67,2022-09-09T23:42:36.000Z,en,1131377111854342147,RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,1568384408612409346,"['@anncherie49:', '#fauziah', 'referred', '#climatechange', '“fashionable”.', 'irresponsible', 'journalism', '#abc', '@abcnews', '@breakfastnews']",RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,"['rt', '@anncherie49:', '#fauziah', 'referred', '#climatechange', '“fashionable”.', 'irresponsible', 'journalism', '#abc', '@abcnews', '@breakfastnews']",rt @anncherie49: #fauziah referred #climatechange “fashionable”. irresponsible journalism #abc @abcnews @breakfastnews,"['rt', '@anncherie49', 'fauziah', 'refer', 'climatechange', 'fashionable', 'irresponsible', 'journalism', 'abc', '@abcnews', '@breakfastnew']",rt @anncherie49 fauziah refer climatechange fashionable irresponsible journalism abc @abcnews @breakfastnew,"['rt', 'anncherie49', 'fauziah', 'refer', 'climatechange', 'fashionable', 'irresponsible', 'journalism', 'abc', 'abcnews', 'breakfastnew']",['fashionable'],['irresponsible'],"['fashionable', 'irresponsible']",2,1,1,0
68,68,2022-09-09T23:42:32.000Z,en,1490782775582273536,RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,1568384389675118592,"['@anncherie49:', '#fauziah', 'referred', '#climatechange', '“fashionable”.', 'irresponsible', 'journalism', '#abc', '@abcnews', '@breakfastnews']",RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,"['rt', '@anncherie49:', '#fauziah', 'referred', '#climatechange', '“fashionable”.', 'irresponsible', 'journalism', '#abc', '@abcnews', '@breakfastnews']",rt @anncherie49: #fauziah referred #climatechange “fashionable”. irresponsible journalism #abc @abcnews @breakfastnews,"['rt', '@anncherie49', 'fauziah', 'refer', 'climatechange', 'fashionable', 'irresponsible', 'journalism', 'abc', '@abcnews', '@breakfastnew']",rt @anncherie49 fauziah refer climatechange fashionable irresponsible journalism abc @abcnews @breakfastnew,"['rt', 'anncherie49', 'fauziah', 'refer', 'climatechange', 'fashionable', 'irresponsible', 'journalism', 'abc', 'abcnews', 'breakfastnew']",['fashionable'],['irresponsible'],"['fashionable', 'irresponsible']",2,1,1,0
69,69,2022-09-09T23:42:00.000Z,en,1366237165982605312,RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,1568384257437073410,"['@anncherie49:', '#fauziah', 'referred', '#climatechange', '“fashionable”.', 'irresponsible', 'journalism', '#abc', '@abcnews', '@breakfastnews']",RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,"['rt', '@anncherie49:', '#fauziah', 'referred', '#climatechange', '“fashionable”.', 'irresponsible', 'journalism', '#abc', '@abcnews', '@breakfastnews']",rt @anncherie49: #fauziah referred #climatechange “fashionable”. irresponsible journalism #abc @abcnews @breakfastnews,"['rt', '@anncherie49', 'fauziah', 'refer', 'climatechange', 'fashionable', 'irresponsible', 'journalism', 'abc', '@abcnews', '@breakfastnew']",rt @anncherie49 fauziah refer climatechange fashionable irresponsible journalism abc @abcnews @breakfastnew,"['rt', 'anncherie49', 'fauziah', 'refer', 'climatechange', 'fashionable', 'irresponsible', 'journalism', 'abc', 'abcnews', 'breakfastnew']",['fashionable'],['irresponsible'],"['fashionable', 'irresponsible']",2,1,1,0
70,70,2022-09-09T23:41:57.000Z,en,3301926908,Three ways #CLIMATE change makes adventure tourism riskier  #GlobalWarming #climatechange,1568384244946182148,"['ways', '#climate', 'change', 'makes', 'adventure', 'tourism', 'riskier', '#globalwarming', '#climatechange']",Three ways #CLIMATE change makes adventure tourism riskier #GlobalWarming #climatechange,Three ways #CLIMATE change makes adventure tourism riskier #GlobalWarming #climatechange,"['ways', '#climate', 'makes', 'adventure', 'tourism', 'riskier', '#globalwarming', '#climatechange']",ways #climate makes adventure tourism riskier #globalwarming #climatechange,"['way', 'climate', 'make', 'adventure', 'tourism', 'risky', 'globalwarme', 'climatechange']",way climate make adventure tourism risky globalwarme climatechange,"['way', 'climate', 'make', 'adventure', 'tourism', 'risky', 'globalwarme', 'climatechange']",[],['risky'],['risky'],1,0,1,-1
72,72,2022-09-09T23:41:28.000Z,en,3111226033,Three ways #CLIMATE change makes adventure tourism riskier  #GPWX #GlobalWarming #climatechange,1568384122443251712,"['ways', '#climate', 'change', 'makes', 'adventure', 'tourism', 'riskier', '#gpwx', '#globalwarming', '#climatechange']",Three ways #CLIMATE change makes adventure tourism riskier #GPWX #GlobalWarming #climatechange,Three ways #CLIMATE change makes adventure tourism riskier #GPWX #GlobalWarming #climatechange,"['ways', '#climate', 'makes', 'adventure', 'tourism', 'riskier', '#gpwx', '#globalwarming', '#climatechange']",ways #climate makes adventure tourism riskier #gpwx #globalwarming #climatechange,"['way', 'climate', 'make', 'adventure', 'tourism', 'risky', 'gpwx', 'globalwarme', 'climatechange']",way climate make adventure tourism risky gpwx globalwarme climatechange,"['way', 'climate', 'make', 'adventure', 'tourism', 'risky', 'gpwx', 'globalwarme', 'climatechange']",[],['risky'],['risky'],1,0,1,-1
73,73,2022-09-09T23:41:03.000Z,en,1034284633,RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,1568384017300606976,"['@anncherie49:', '#fauziah', 'referred', '#climatechange', '“fashionable”.', 'irresponsible', 'journalism', '#abc', '@abcnews', '@breakfastnews']",RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,"['rt', '@anncherie49:', '#fauziah', 'referred', '#climatechange', '“fashionable”.', 'irresponsible', 'journalism', '#abc', '@abcnews', '@breakfastnews']",rt @anncherie49: #fauziah referred #climatechange “fashionable”. irresponsible journalism #abc @abcnews @breakfastnews,"['rt', '@anncherie49', 'fauziah', 'refer', 'climatechange', 'fashionable', 'irresponsible', 'journalism', 'abc', '@abcnews', '@breakfastnew']",rt @anncherie49 fauziah refer climatechange fashionable irresponsible journalism abc @abcnews @breakfastnew,"['rt', 'anncherie49', 'fauziah', 'refer', 'climatechange', 'fashionable', 'irresponsible', 'journalism', 'abc', 'abcnews', 'breakfastnew']",['fashionable'],['irresponsible'],"['fashionable', 'irresponsible']",2,1,1,0
77,77,2022-09-09T23:40:10.000Z,en,1581995870,@catturd2 Sometimes it gets really really windy. It scares me. #ClimateChange,1568383793865564161,"['@catturd2', 'gets', 'windy.', 'scares', 'me.', '#climatechange']",@catturd2 Sometimes it gets really really windy. It scares me. #ClimateChange,@catturd2 Sometimes it gets really really windy. It scares me. #ClimateChange,"['@catturd2', 'gets', 'windy.', 'scares', 'me.', '#climatechange']",@catturd2 gets windy. scares me. #climatechange,"['@catturd2', 'get', 'windy', 'scare', 'climatechange']",@catturd2 get windy scare climatechange,"['catturd2', 'get', 'windy', 'scare', 'climatechange']",[],['scare'],['scare'],1,0,1,-1
