,Unnamed: 0,created_at,lang,author_id,text,id,text_token,emoji_free_tweets,url_free_tweets,tokens,tokens_back_to_text,lemmas,lemmas_back_to_text,lemma_tokens,positive_sentiment,negative_sentiment,sentiment_tokens,len_tokens,has_positive,has_negative,label
78,78,2022-09-09T23:39:54.000Z,en,1517382236747665408,RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,1568383726845063172,"['@anncherie49:', '#fauziah', 'referred', '#climatechange', '“fashionable”.', 'irresponsible', 'journalism', '#abc', '@abcnews', '@breakfastnews']",RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,"['rt', '@anncherie49:', '#fauziah', 'referred', '#climatechange', '“fashionable”.', 'irresponsible', 'journalism', '#abc', '@abcnews', '@breakfastnews']",rt @anncherie49: #fauziah referred #climatechange “fashionable”. irresponsible journalism #abc @abcnews @breakfastnews,"['rt', '@anncherie49', 'fauziah', 'refer', 'climatechange', 'fashionable', 'irresponsible', 'journalism', 'abc', '@abcnews', '@breakfastnew']",rt @anncherie49 fauziah refer climatechange fashionable irresponsible journalism abc @abcnews @breakfastnew,"['rt', 'anncherie49', 'fauziah', 'refer', 'climatechange', 'fashionable', 'irresponsible', 'journalism', 'abc', 'abcnews', 'breakfastnew']",['fashionable'],['irresponsible'],"['fashionable', 'irresponsible']",2,1,1,0
79,79,2022-09-09T23:39:37.000Z,en,2615044988,"RT @EkeleJiata: From #ClimateChange, Africa faces exponential collateral damage, posing systemic risks to its economies, infrastructure inv…",1568383657227812864,"['@ekelejiata:', '#climatechange,', 'africa', 'faces', 'exponential', 'collateral', 'damage,', 'posing', 'systemic', 'risks', 'economies,', 'infrastructure', 'inv…']","RT @EkeleJiata: From #ClimateChange, Africa faces exponential collateral damage, posing systemic risks to its economies, infrastructure inv…","RT @EkeleJiata: From #ClimateChange, Africa faces exponential collateral damage, posing systemic risks to its economies, infrastructure inv…","['rt', '@ekelejiata:', '#climatechange,', 'africa', 'faces', 'exponential', 'collateral', 'damage,', 'posing', 'systemic', 'risks', 'economies,', 'infrastructure', 'inv…']","rt @ekelejiata: #climatechange, africa faces exponential collateral damage, posing systemic risks economies, infrastructure inv…","['rt', '@ekelejiata', 'climatechange', 'africa', 'face', 'exponential', 'collateral', 'damage', 'pose', 'systemic', 'risk', 'economy', 'infrastructure', 'inv']",rt @ekelejiata climatechange africa face exponential collateral damage pose systemic risk economy infrastructure inv,"['rt', 'ekelejiata', 'climatechange', 'africa', 'face', 'exponential', 'collateral', 'damage', 'pose', 'systemic', 'risk', 'economy', 'infrastructure', 'inv']",[],"['damage', 'risk']","['damage', 'risk']",2,0,1,-1
80,80,2022-09-09T23:39:20.000Z,en,922361848703328257,RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,1568383585262141440,"['@anncherie49:', '#fauziah', 'referred', '#climatechange', '“fashionable”.', 'irresponsible', 'journalism', '#abc', '@abcnews', '@breakfastnews']",RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,"['rt', '@anncherie49:', '#fauziah', 'referred', '#climatechange', '“fashionable”.', 'irresponsible', 'journalism', '#abc', '@abcnews', '@breakfastnews']",rt @anncherie49: #fauziah referred #climatechange “fashionable”. irresponsible journalism #abc @abcnews @breakfastnews,"['rt', '@anncherie49', 'fauziah', 'refer', 'climatechange', 'fashionable', 'irresponsible', 'journalism', 'abc', '@abcnews', '@breakfastnew']",rt @anncherie49 fauziah refer climatechange fashionable irresponsible journalism abc @abcnews @breakfastnew,"['rt', 'anncherie49', 'fauziah', 'refer', 'climatechange', 'fashionable', 'irresponsible', 'journalism', 'abc', 'abcnews', 'breakfastnew']",['fashionable'],['irresponsible'],"['fashionable', 'irresponsible']",2,1,1,0
81,81,2022-09-09T23:39:18.000Z,cy,292619181,Kalashni coughdrop  #poetry #SpokenWord #writer #publisher #bookofpoetry #peace #love #antiwar #ClimateChange 1,1568383574918971394,"['kalashni', 'coughdrop', '#poetry', '#spokenword', '#writer', '#publisher', '#bookofpoetry', '#peace', '#love', '#antiwar', '#climatechange', '1']",Kalashni coughdrop #poetry #SpokenWord #writer #publisher #bookofpoetry #peace #love #antiwar #ClimateChange 1,Kalashni coughdrop #poetry #SpokenWord #writer #publisher #bookofpoetry #peace #love #antiwar #ClimateChange 1,"['kalashni', 'coughdrop', '#poetry', '#spokenword', '#writer', '#publisher', '#bookofpoetry', '#peace', '#love', '#antiwar', '#climatechange', '1']",kalashni coughdrop #poetry #spokenword #writer #publisher #bookofpoetry #peace #love #antiwar #climatechange 1,"['kalashni', 'coughdrop', 'poetry', 'spokenword', 'writer', 'publisher', 'bookofpoetry', 'peace', 'love', 'antiwar', 'climatechange', '1']",kalashni coughdrop poetry spokenword writer publisher bookofpoetry peace love antiwar climatechange 1,"['kalashni', 'coughdrop', 'poetry', 'spokenword', 'writer', 'publisher', 'bookofpoetry', 'peace', 'love', 'antiwar', 'climatechange', '1']","['peace', 'love']",[],"['peace', 'love']",2,1,0,1
82,82,2022-09-09T23:38:22.000Z,en,1378550820,RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,1568383342055407616,"['@anncherie49:', '#fauziah', 'referred', '#climatechange', '“fashionable”.', 'irresponsible', 'journalism', '#abc', '@abcnews', '@breakfastnews']",RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,"['rt', '@anncherie49:', '#fauziah', 'referred', '#climatechange', '“fashionable”.', 'irresponsible', 'journalism', '#abc', '@abcnews', '@breakfastnews']",rt @anncherie49: #fauziah referred #climatechange “fashionable”. irresponsible journalism #abc @abcnews @breakfastnews,"['rt', '@anncherie49', 'fauziah', 'refer', 'climatechange', 'fashionable', 'irresponsible', 'journalism', 'abc', '@abcnews', '@breakfastnew']",rt @anncherie49 fauziah refer climatechange fashionable irresponsible journalism abc @abcnews @breakfastnew,"['rt', 'anncherie49', 'fauziah', 'refer', 'climatechange', 'fashionable', 'irresponsible', 'journalism', 'abc', 'abcnews', 'breakfastnew']",['fashionable'],['irresponsible'],"['fashionable', 'irresponsible']",2,1,1,0
83,83,2022-09-09T23:38:09.000Z,en,19644337,RT @dvdmckay: We’ve got a new paper out on climate #TippingPoints in @ScienceMagazine: “Exceeding 1.5°C global warming could trigger multip…,1568383288833888256,"['@dvdmckay:', 'we’ve', 'got', 'new', 'paper', 'climate', '#tippingpoints', '@sciencemagazine:', '“exceeding', '1.5°c', 'global', 'warming', 'trigger', 'multip…']",RT @dvdmckay: We’ve got a new paper out on climate #TippingPoints in @ScienceMagazine: “Exceeding 1.5°C global warming could trigger multip…,RT @dvdmckay: We’ve got a new paper out on climate #TippingPoints in @ScienceMagazine: “Exceeding 1.5°C global warming could trigger multip…,"['rt', '@dvdmckay:', 'we’ve', 'new', 'paper', '#tippingpoints', '@sciencemagazine:', '“exceeding', '1.5°c', 'global', 'warming', 'trigger', 'multip…']",rt @dvdmckay: we’ve new paper #tippingpoints @sciencemagazine: “exceeding 1.5°c global warming trigger multip…,"['rt', '@dvdmckay', 'new', 'paper', 'tippingpoint', '@sciencemagazine', 'exceed', '1.5', '°', 'c', 'global', 'warming', 'trigger', 'multip']",rt @dvdmckay new paper tippingpoint @sciencemagazine exceed 1.5 ° c global warming trigger multip,"['rt', 'dvdmckay', 'new', 'paper', 'tippingpoint', 'sciencemagazine', 'exceed', '1.5', '°', 'c', 'global', 'warming', 'trigger', 'multip']",['exceed'],[],['exceed'],1,1,0,1
84,84,2022-09-09T23:38:01.000Z,en,1261355240630059010,"Sorry, you can't be both an environmentalist AND pro-nuke.  #nonukes #nuclear #nuclearpower #nuclearenergy #dirtyenergy #climate #climatechange #falsesolutions #moreharmthangood",1568383255199752192,"['sorry,', ""can't"", 'environmentalist', 'pro-nuke.', '#nonukes', '#nuclear', '#nuclearpower', '#nuclearenergy', '#dirtyenergy', '#climate', '#climatechange', '#falsesolutions', '#moreharmthangood']","Sorry, you can't be both an environmentalist AND pro-nuke. #nonukes #nuclear #nuclearpower #nuclearenergy #dirtyenergy #climate #climatechange #falsesolutions #moreharmthangood","Sorry, you can't be both an environmentalist AND pro-nuke. #nonukes #nuclear #nuclearpower #nuclearenergy #dirtyenergy #climate #climatechange #falsesolutions #moreharmthangood","['sorry,', ""can't"", 'environmentalist', 'pro-nuke.', '#nonukes', '#nuclear', '#nuclearpower', '#nuclearenergy', '#dirtyenergy', '#climate', '#climatechange', '#falsesolutions', '#moreharmthangood']","sorry, can't environmentalist pro-nuke. #nonukes #nuclear #nuclearpower #nuclearenergy #dirtyenergy #climate #climatechange #falsesolutions #moreharmthangood","['sorry', 'environmentalist', 'pro', 'nuke', 'nonuke', 'nuclear', 'nuclearpow', 'nuclearenergy', 'dirtyenergy', 'climate', 'climatechange', 'falsesolution', 'moreharmthangood']",sorry environmentalist pro nuke nonuke nuclear nuclearpow nuclearenergy dirtyenergy climate climatechange falsesolution moreharmthangood,"['sorry', 'environmentalist', 'pro', 'nuke', 'nonuke', 'nuclear', 'nuclearpow', 'nuclearenergy', 'dirtyenergy', 'climate', 'climatechange', 'falsesolution', 'moreharmthangood']",[],['sorry'],['sorry'],1,0,1,-1
85,85,2022-09-09T23:37:43.000Z,en,824454522869350400,RT @frequentbuyer1: @RepNancyMace And then there’s your vote AGAINST the #InflationReductionAct that addressed #ClimateChange issues that I…,1568383177227386881,"['@frequentbuyer1:', '@repnancymace', 'there’s', 'vote', '#inflationreductionact', 'addressed', '#climatechange', 'issues', 'i…']",RT @frequentbuyer1: @RepNancyMace And then there’s your vote AGAINST the #InflationReductionAct that addressed #ClimateChange issues that I…,RT @frequentbuyer1: @RepNancyMace And then there’s your vote AGAINST the #InflationReductionAct that addressed #ClimateChange issues that I…,"['rt', '@frequentbuyer1:', '@repnancymace', 'there’s', 'vote', '#inflationreductionact', 'addressed', '#climatechange', 'issues', 'i…']",rt @frequentbuyer1: @repnancymace there’s vote #inflationreductionact addressed #climatechange issues i…,"['rt', '@frequentbuyer1', '@repnancymace', 'vote', 'inflationreductionact', 'address', 'climatechange', 'issue']",rt @frequentbuyer1 @repnancymace vote inflationreductionact address climatechange issue,"['rt', 'frequentbuyer1', 'repnancymace', 'vote', 'inflationreductionact', 'address', 'climatechange', 'issue']",[],['issue'],['issue'],1,0,1,-1
86,86,2022-09-09T23:36:40.000Z,en,3259574756,RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,1568382913133289472,"['@anncherie49:', '#fauziah', 'referred', '#climatechange', '“fashionable”.', 'irresponsible', 'journalism', '#abc', '@abcnews', '@breakfastnews']",RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,"['rt', '@anncherie49:', '#fauziah', 'referred', '#climatechange', '“fashionable”.', 'irresponsible', 'journalism', '#abc', '@abcnews', '@breakfastnews']",rt @anncherie49: #fauziah referred #climatechange “fashionable”. irresponsible journalism #abc @abcnews @breakfastnews,"['rt', '@anncherie49', 'fauziah', 'refer', 'climatechange', 'fashionable', 'irresponsible', 'journalism', 'abc', '@abcnews', '@breakfastnew']",rt @anncherie49 fauziah refer climatechange fashionable irresponsible journalism abc @abcnews @breakfastnew,"['rt', 'anncherie49', 'fauziah', 'refer', 'climatechange', 'fashionable', 'irresponsible', 'journalism', 'abc', 'abcnews', 'breakfastnew']",['fashionable'],['irresponsible'],"['fashionable', 'irresponsible']",2,1,1,0
87,87,2022-09-09T23:36:07.000Z,en,2188488030,"RT @EarthKikashi: Protect the country and regime Maintaining economy and affluence As a result, continue to burn fossil fuels Leaders ignor…",1568382775924867072,"['@earthkikashi:', 'protect', 'country', 'regime', 'maintaining', 'economy', 'affluence', 'result,', 'continue', 'burn', 'fossil', 'fuels', 'leaders', 'ignor…']","RT @EarthKikashi: Protect the country and regime Maintaining economy and affluence As a result, continue to burn fossil fuels Leaders ignor…","RT @EarthKikashi: Protect the country and regime Maintaining economy and affluence As a result, continue to burn fossil fuels Leaders ignor…","['rt', '@earthkikashi:', 'protect', 'country', 'regime', 'maintaining', 'economy', 'affluence', 'result,', 'continue', 'burn', 'fossil', 'fuels', 'leaders', 'ignor…']","rt @earthkikashi: protect country regime maintaining economy affluence result, continue burn fossil fuels leaders ignor…","['rt', '@earthkikashi', 'protect', 'country', 'regime', 'maintain', 'economy', 'affluence', 'result', 'continue', 'burn', 'fossil', 'fuel', 'leader', 'ignor']",rt @earthkikashi protect country regime maintain economy affluence result continue burn fossil fuel leader ignor,"['rt', 'earthkikashi', 'protect', 'country', 'regime', 'maintain', 'economy', 'affluence', 'result', 'continue', 'burn', 'fossil', 'fuel', 'leader', 'ignor']","['affluence', 'protect']",['burn'],"['affluence', 'protect', 'burn']",3,1,1,0
88,88,2022-09-09T23:35:56.000Z,en,1105947487712366593,RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,1568382730651725827,"['@anncherie49:', '#fauziah', 'referred', '#climatechange', '“fashionable”.', 'irresponsible', 'journalism', '#abc', '@abcnews', '@breakfastnews']",RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,"['rt', '@anncherie49:', '#fauziah', 'referred', '#climatechange', '“fashionable”.', 'irresponsible', 'journalism', '#abc', '@abcnews', '@breakfastnews']",rt @anncherie49: #fauziah referred #climatechange “fashionable”. irresponsible journalism #abc @abcnews @breakfastnews,"['rt', '@anncherie49', 'fauziah', 'refer', 'climatechange', 'fashionable', 'irresponsible', 'journalism', 'abc', '@abcnews', '@breakfastnew']",rt @anncherie49 fauziah refer climatechange fashionable irresponsible journalism abc @abcnews @breakfastnew,"['rt', 'anncherie49', 'fauziah', 'refer', 'climatechange', 'fashionable', 'irresponsible', 'journalism', 'abc', 'abcnews', 'breakfastnew']",['fashionable'],['irresponsible'],"['fashionable', 'irresponsible']",2,1,1,0
89,89,2022-09-09T23:35:52.000Z,en,1253249515,RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,1568382710707818497,"['@anncherie49:', '#fauziah', 'referred', '#climatechange', '“fashionable”.', 'irresponsible', 'journalism', '#abc', '@abcnews', '@breakfastnews']",RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,"['rt', '@anncherie49:', '#fauziah', 'referred', '#climatechange', '“fashionable”.', 'irresponsible', 'journalism', '#abc', '@abcnews', '@breakfastnews']",rt @anncherie49: #fauziah referred #climatechange “fashionable”. irresponsible journalism #abc @abcnews @breakfastnews,"['rt', '@anncherie49', 'fauziah', 'refer', 'climatechange', 'fashionable', 'irresponsible', 'journalism', 'abc', '@abcnews', '@breakfastnew']",rt @anncherie49 fauziah refer climatechange fashionable irresponsible journalism abc @abcnews @breakfastnew,"['rt', 'anncherie49', 'fauziah', 'refer', 'climatechange', 'fashionable', 'irresponsible', 'journalism', 'abc', 'abcnews', 'breakfastnew']",['fashionable'],['irresponsible'],"['fashionable', 'irresponsible']",2,1,1,0
91,91,2022-09-09T23:35:42.000Z,en,225901906,RT @UNFPA_Arabic: The International Cooperation Forum #ICF is giving space to women and girls for a healthier plant #EgyptICF #ClimateChang…,1568382671797063681,"['@unfpa_arabic:', 'international', 'cooperation', 'forum', '#icf', 'giving', 'space', 'women', 'girls', 'healthier', 'plant', '#egypticf', '#climatechang…']",RT @UNFPA_Arabic: The International Cooperation Forum #ICF is giving space to women and girls for a healthier plant #EgyptICF #ClimateChang…,RT @UNFPA_Arabic: The International Cooperation Forum #ICF is giving space to women and girls for a healthier plant #EgyptICF #ClimateChang…,"['rt', '@unfpa_arabic:', 'international', 'cooperation', 'forum', '#icf', 'giving', 'space', 'women', 'girls', 'healthier', 'plant', '#egypticf', '#climatechang…']",rt @unfpa_arabic: international cooperation forum #icf giving space women girls healthier plant #egypticf #climatechang…,"['rt', '@unfpa_arabic', 'international', 'cooperation', 'forum', 'icf', 'give', 'space', 'woman', 'girl', 'healthy', 'plant', 'egypticf', 'climatechang']",rt @unfpa_arabic international cooperation forum icf give space woman girl healthy plant egypticf climatechang,"['rt', 'unfpa_arabic', 'international', 'cooperation', 'forum', 'icf', 'give', 'space', 'woman', 'girl', 'healthy', 'plant', 'egypticf', 'climatechang']",['healthy'],[],['healthy'],1,1,0,1
92,92,2022-09-09T23:35:37.000Z,en,19609660,#climate #change Links to FIXING CLIMATE CHANGE #climatechange #CO2 #global #warming #nature_beauty #nature #earth  ,1568382650255024128,"['#climate', '#change', 'links', 'fixing', 'climate', 'change', '#climatechange', '#co2', '#global', '#warming', '#nature_beauty', '#nature', '#earth']",#climate #change Links to FIXING CLIMATE CHANGE #climatechange #CO2 #global #warming #nature_beauty #nature #earth,#climate #change Links to FIXING CLIMATE CHANGE #climatechange #CO2 #global #warming #nature_beauty #nature #earth,"['#climate', '#change', 'links', 'fixing', '#climatechange', '#co2', '#global', '#warming', '#nature_beauty', '#nature', '#earth']",#climate #change links fixing #climatechange #co2 #global #warming #nature_beauty #nature #earth,"['climate', 'change', 'link', 'fix', 'climatechange', 'co2', 'global', 'warm', 'nature_beauty', 'nature', 'earth']",climate change link fix climatechange co2 global warm nature_beauty nature earth,"['climate', 'change', 'link', 'fix', 'climatechange', 'co2', 'global', 'warm', 'nature_beauty', 'nature', 'earth']",['warm'],[],['warm'],1,1,0,1
93,93,2022-09-09T23:35:20.000Z,en,3418339671,"RT @i_ameztoy: Summer 2022 was warmest on record for #Svalbard 1991-2020 avg. temperature at the airport: 5,5 degrees | last 10 years: 6,…",1568382577924534272,"['@i_ameztoy:', 'summer', '2022', 'warmest', 'record', '#svalbard', '1991-2020', 'avg.', 'temperature', 'airport:', '5,5', 'degrees', '|', '10', 'years:', '6,…']","RT @i_ameztoy: Summer 2022 was warmest on record for #Svalbard 1991-2020 avg. temperature at the airport: 5,5 degrees | last 10 years: 6,…","RT @i_ameztoy: Summer 2022 was warmest on record for #Svalbard 1991-2020 avg. temperature at the airport: 5,5 degrees | last 10 years: 6,…","['rt', '@i_ameztoy:', 'summer', '2022', 'warmest', 'record', '#svalbard', '1991-2020', 'avg.', 'temperature', 'airport:', '5,5', 'degrees', '|', '10', 'years:', '6,…']","rt @i_ameztoy: summer 2022 warmest record #svalbard 1991-2020 avg. temperature airport: 5,5 degrees | 10 years: 6,…","['rt', '@i_ameztoy', 'summer', '2022', 'warm', 'record', 'svalbard', '1991', '2020', 'avg', 'temperature', 'airport', '5,5', 'degree', '|', '10', 'year', '6']","rt @i_ameztoy summer 2022 warm record svalbard 1991 2020 avg temperature airport 5,5 degree | 10 year 6","['rt', 'i_ameztoy', 'summer', '2022', 'warm', 'record', 'svalbard', '1991', '2020', 'avg', 'temperature', 'airport', '5,5', 'degree', '|', '10', 'year', '6']",['warm'],[],['warm'],1,1,0,1
94,94,2022-09-09T23:34:45.000Z,en,2650617704,RT @dvdmckay: We’ve got a new paper out on climate #TippingPoints in @ScienceMagazine: “Exceeding 1.5°C global warming could trigger multip…,1568382433078419457,"['@dvdmckay:', 'we’ve', 'got', 'new', 'paper', 'climate', '#tippingpoints', '@sciencemagazine:', '“exceeding', '1.5°c', 'global', 'warming', 'trigger', 'multip…']",RT @dvdmckay: We’ve got a new paper out on climate #TippingPoints in @ScienceMagazine: “Exceeding 1.5°C global warming could trigger multip…,RT @dvdmckay: We’ve got a new paper out on climate #TippingPoints in @ScienceMagazine: “Exceeding 1.5°C global warming could trigger multip…,"['rt', '@dvdmckay:', 'we’ve', 'new', 'paper', '#tippingpoints', '@sciencemagazine:', '“exceeding', '1.5°c', 'global', 'warming', 'trigger', 'multip…']",rt @dvdmckay: we’ve new paper #tippingpoints @sciencemagazine: “exceeding 1.5°c global warming trigger multip…,"['rt', '@dvdmckay', 'new', 'paper', 'tippingpoint', '@sciencemagazine', 'exceed', '1.5', '°', 'c', 'global', 'warming', 'trigger', 'multip']",rt @dvdmckay new paper tippingpoint @sciencemagazine exceed 1.5 ° c global warming trigger multip,"['rt', 'dvdmckay', 'new', 'paper', 'tippingpoint', 'sciencemagazine', 'exceed', '1.5', '°', 'c', 'global', 'warming', 'trigger', 'multip']",['exceed'],[],['exceed'],1,1,0,1
95,95,2022-09-09T23:34:30.000Z,en,225901906,RT @UNFPA_Arabic: Supporting women and girls in addressing #ClimateChange #EgyptICF @COP27P @UNFCCC ,1568382369853480961,"['@unfpa_arabic:', 'supporting', 'women', 'girls', 'addressing', '#climatechange', '#egypticf', '@cop27p', '@unfccc']",RT @UNFPA_Arabic: Supporting women and girls in addressing #ClimateChange #EgyptICF @COP27P @UNFCCC,RT @UNFPA_Arabic: Supporting women and girls in addressing #ClimateChange #EgyptICF @COP27P @UNFCCC,"['rt', '@unfpa_arabic:', 'supporting', 'women', 'girls', 'addressing', '#climatechange', '#egypticf', '@cop27p', '@unfccc']",rt @unfpa_arabic: supporting women girls addressing #climatechange #egypticf @cop27p @unfccc,"['rt', '@unfpa_arabic', 'support', 'woman', 'girl', 'address', 'climatechange', 'egypticf', '@cop27p', '@unfccc']",rt @unfpa_arabic support woman girl address climatechange egypticf @cop27p @unfccc,"['rt', 'unfpa_arabic', 'support', 'woman', 'girl', 'address', 'climatechange', 'egypticf', 'cop27p', 'unfccc']",['support'],[],['support'],1,1,0,1
97,97,2022-09-09T23:33:44.000Z,qht,1315918007550369792,#ClimateChange #GlobalWarming #ClimateEmergency #Aridification #Drought #Heatwave ,1568382177133600769,"['#climatechange', '#globalwarming', '#climateemergency', '#aridification', '#drought', '#heatwave']",#ClimateChange #GlobalWarming #ClimateEmergency #Aridification #Drought #Heatwave,#ClimateChange #GlobalWarming #ClimateEmergency #Aridification #Drought #Heatwave,"['#climatechange', '#globalwarming', '#climateemergency', '#aridification', '#drought', '#heatwave']",#climatechange #globalwarming #climateemergency #aridification #drought #heatwave,"['climatechange', 'globalwarme', 'climateemergency', 'aridification', 'drought', 'heatwave']",climatechange globalwarme climateemergency aridification drought heatwave,"['climatechange', 'globalwarme', 'climateemergency', 'aridification', 'drought', 'heatwave']",[],['drought'],['drought'],1,0,1,-1
99,99,2022-09-09T23:31:34.000Z,en,1431395987948441602,RT @warrenswil: #POTUS signs huge new #ClimateChange law at WH gala It’s a WINNER for #DEMS! #GOP doesn’t care about #ClimateCrisis Every s…,1568381629256589315,"['@warrenswil:', '#potus', 'signs', 'huge', 'new', '#climatechange', 'law', 'wh', 'gala', 'winner', '#dems!', '#gop', 'doesn’t', 'care', '#climatecrisis', 's…']",RT @warrenswil: #POTUS signs huge new #ClimateChange law at WH gala It’s a WINNER for #DEMS! #GOP doesn’t care about #ClimateCrisis Every s…,RT @warrenswil: #POTUS signs huge new #ClimateChange law at WH gala It’s a WINNER for #DEMS! #GOP doesn’t care about #ClimateCrisis Every s…,"['rt', '@warrenswil:', '#potus', 'signs', 'huge', 'new', '#climatechange', 'law', 'wh', 'gala', 'winner', '#dems!', '#gop', 'doesn’t', 'care', '#climatecrisis', 's…']",rt @warrenswil: #potus signs huge new #climatechange law wh gala winner #dems! #gop doesn’t care #climatecrisis s…,"['rt', '@warrenswil', 'potus', 'sign', 'huge', 'new', 'climatechange', 'law', 'wh', 'gala', 'winner', 'dem', 'gop', 'care', 'climatecrisis', 's']",rt @warrenswil potus sign huge new climatechange law wh gala winner dem gop care climatecrisis s,"['rt', 'warrenswil', 'potus', 'sign', 'huge', 'new', 'climatechange', 'law', 'wh', 'gala', 'winner', 'dem', 'gop', 'care', 'climatecrisis', 's']",['winner'],[],['winner'],1,1,0,1
